State,Year,Quater,Total_Amount
delhi,2019,4,1548293593536.0
delhi,2020,1,1603398484704.0
delhi,2020,2,1294481254656.0
delhi,2020,3,2101967579616.0
delhi,2020,4,2595180984384.0
delhi,2021,1,3203140033152.0
delhi,2021,2,3383293101120.0
delhi,2021,3,4606299743232.0
delhi,2021,4,5864343823872.0
delhi,2022,1,6443578978176.0
delhi,2022,2,7558267640448.0
delhi,2022,3,8131351806336.0
delhi,2022,4,8938980275712.0
delhi,2023,1,7336837282560.0
delhi,2023,2,7940742122496.0
delhi,2023,3,8498391131520.0
delhi,2023,4,9595796331648.0
delhi,2024,1,9990168430848.0
delhi,2024,2,10763011982592.0
delhi,2024,3,11498440850688.0
delhi,2024,4,12684725711616.0
goa,2018,1,3646281001.875
goa,2018,2,5743245803.25
goa,2018,3,8558003590.5
goa,2018,4,13836061167.0
goa,2019,1,17703880273.125
goa,2019,2,19102405617.75
goa,2019,3,24004406242.5
goa,2019,4,35081525302.5
goa,2020,1,40924453207.5
goa,2020,2,26203396617.0
goa,2020,3,40420122540.0
goa,2020,4,82797510972.0
goa,2021,1,117086912832.0
goa,2021,2,96154246284.0
goa,2021,3,125741108568.0
goa,2021,4,223527084960.0
goa,2022,1,237797347848.0
goa,2022,2,274476447516.0
goa,2022,3,234891179784.0
goa,2022,4,299099845428.0
goa,2023,1,421163598384.0
goa,2023,2,460946489616.0
goa,2023,3,448502153712.0
goa,2023,4,531452051400.0
goa,2024,1,544222810524.0
goa,2024,2,569457958500.0
goa,2024,3,550962321816.0
goa,2024,4,678751083288.0
gujarat,2018,1,90935788896.0
gujarat,2018,2,145952222304.0
gujarat,2018,3,214396851624.0
gujarat,2018,4,297971851704.0
gujarat,2019,1,430272958272.0
gujarat,2019,2,591847381512.0
gujarat,2019,3,713552361528.0
gujarat,2019,4,920287966272.0
gujarat,2020,1,1043940928320.0
gujarat,2020,2,964654160016.0
gujarat,2020,3,1343061057024.0
gujarat,2020,4,1780716756672.0
gujarat,2021,1,2204409295488.0
gujarat,2021,2,2521944670080.0
gujarat,2021,3,3271495522176.0
gujarat,2021,4,4108590993792.0
